,Unnamed: 0,word,lemma,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,pos_score,neg_score,obj_score,conv_pos,conv_neg,conv_pos(w=3),conv_neg(w=3),conv_pos(w=5),conv_neg(w=5),emo_flag
13708,13708,snakes,snakes,107.582,108.181,1.805859593606837,NOUN,9,2,6,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13709,13709,i,i,109.149,109.314,8.500758884952813,PRON,9,3,2,3,0.0,0.25,0.75,0.0,0.25,0.0,0.25,0.0,0.25,0
13710,13710,d,had,109.314,109.384,8.105337708286058,AUX,9,2,1,2,0.0,0.0,1.0,0.0,0.125,0.0,0.125,0.0,0.2,0
13711,13711,loosened,loosened,109.384,109.874,0.9665274683008666,VERB,9,2,1,2,0.0,0.0,1.0,0.0,0.0625,0.0,0.0625,0.0,0.15,0
13712,13712,the,the,109.874,109.954,11.115800481137065,DET,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0
13713,13713,golden,golden,109.954,110.444,3.6555811687124216,ADJ,9,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0
13714,13714,muffler,muffler,110.444,110.854,-0.8445050971167873,NOUN,9,1,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13715,13715,that,that,110.854,110.994,9.22325659724273,DET,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13716,13716,he,he,110.994,111.134,8.557202055435473,PRON,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13717,13717,always,always,111.134,111.614,5.90347996943943,ADV,9,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13718,13718,wore,wore,111.614,111.863,3.1633631149379418,VERB,9,2,7,3,0.0,0.25,0.75,0.0,0.25,0.0,0.25,0.0,0.25,0
13719,13719,i,i,112.337,112.442,8.500758884952813,PRON,9,3,2,3,0.0,0.25,0.75,0.0,0.375,0.0,0.375,0.0,0.45,0
13720,13720,d,had,112.442,112.512,8.105337708286058,AUX,9,3,1,2,0.0,0.0,1.0,0.0,0.1875,0.0,0.1875,0.0,0.35,0
13721,13721,moistened,moistened,112.512,113.032,0.4720016319084086,VERB,9,2,1,2,0.0,0.0,1.0,0.0,0.0625,0.0,0.0625,0.0,0.25,0
13722,13722,his,his,113.032,113.252,8.427771639559914,DET,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.15000000000000002,0
13723,13723,temples,temples,113.252,113.812,2.571542956447547,NOUN,9,2,5,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0
13724,13724,and,and,113.812,113.922,10.263048328453316,CCONJ,9,1,1,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13725,13725,had,had,113.922,114.142,8.105337708286058,AUX,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13726,13726,him,him,114.142,114.342,7.309814593955469,PRON,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13727,13727,drink,drink,114.342,114.762,3.753613268680504,VERB,9,2,6,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13728,13728,and,and,115.151,115.566,10.263048328453316,CCONJ,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13729,13729,now,now,115.566,115.966,6.757037034934793,ADV,9,2,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13730,13730,i,i,116.335,116.45,8.500758884952813,PRON,9,2,2,2,0.0,0.25,0.75,0.0,0.25,0.0,0.25,0.0,0.25,0
13731,13731,didn,did,116.45,116.72,6.7723363918744015,AUX,9,2,1,2,0.0,0.0,1.0,0.0,0.125,0.0,0.125,0.0,0.2,0
13732,13732,t,not,116.72,116.78,8.652789949703957,PART,9,1,1,1,0.0,0.0,1.0,0.0,0.0625,0.0,0.0625,0.0,0.15,0
13733,13733,dare,dare,116.78,117.04,2.867273706650188,VERB,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0
13734,13734,ask,ask,117.04,117.34,4.761233321619679,VERB,9,3,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.05,0
13735,13735,him,him,117.34,117.44,7.309814593955469,PRON,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13736,13736,anything,anything,117.44,117.83,5.070914758313443,PRON,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13737,13737,more,more,117.83,118.099,7.580138370189354,ADJ,9,1,8,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13738,13738,he,he,118.932,119.097,8.557202055435473,PRON,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13739,13739,looked,looked,119.097,119.427,5.159400067361368,VERB,9,3,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13740,13740,at,at,119.427,119.487,8.371404122348569,ADP,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13741,13741,me,me,119.487,119.617,6.944665633002234,PRON,9,2,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13742,13742,gravely,gravely,119.617,120.177,1.4194147744531067,ADV,9,2,3,3,0.125,0.0,0.875,0.125,0.0,0.125,0.0,0.125,0.0,0
13743,13743,and,and,120.177,120.287,10.263048328453316,CCONJ,9,1,1,1,0.0,0.0,1.0,0.0625,0.0,0.0625,0.0,0.1,0.0,0
13744,13744,put,put,120.287,120.477,5.694203408209207,VERB,9,2,1,2,0.0,0.0,1.0,0.03125,0.0,0.03125,0.0,0.075,0.0,0
13745,13745,his,his,120.477,120.627,8.427771639559914,DET,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.0,0
13746,13746,arms,arms,120.627,120.997,4.629862798578463,NOUN,9,2,3,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.025,0.0,0
13747,13747,around,around,120.997,121.277,5.656306446631499,ADP,9,2,1,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13748,13748,my,my,121.277,121.447,7.222784972952155,DET,9,3,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13749,13749,neck,neck,121.447,121.871,3.8108315648646816,NOUN,9,2,7,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
13750,13750,i,i,122.43,122.555,8.500758884952813,PRON,9,3,2,3,0.0,0.25,0.75,0.0,0.25,0.0,0.25,0.0,0.25,0
13751,13751,felt,felt,122.555,122.845,5.2351112906442445,VERB,9,2,1,2,0.0,0.0,1.0,0.0,0.125,0.0,0.125,0.0,0.2,0
13752,13752,his,his,122.845,123.045,8.427771639559914,DET,9,5,2,3,0.0,0.0,1.0,0.0,0.0625,0.0,0.0625,0.0,0.15,0
